Date,CWGFX
2022-11-25,52.619998931884766
2022-11-28,51.849998474121094
2022-11-29,52.11000061035156
2022-11-30,53.52000045776367
2022-12-01,53.68000030517578
2022-12-02,53.630001068115234
2022-12-05,52.86000061035156
2022-12-06,52.400001525878906
2022-12-07,52.2599983215332
2022-12-08,52.689998626708984
2022-12-09,52.59000015258789
2022-12-12,52.93000030517578
2022-12-13,53.02000045776367
2022-12-14,52.97999954223633
2022-12-15,51.7599983215332
2022-12-16,51.2400016784668
2022-12-19,50.97999954223633
2022-12-20,51.119998931884766
2022-12-21,51.7599983215332
2022-12-22,51.189998626708984
2022-12-23,51.41999816894531
2022-12-27,51.439998626708984
2022-12-28,50.900001525878906
2022-12-29,51.68000030517578
2022-12-30,51.45000076293945
2023-01-03,51.380001068115234
2023-01-04,51.84000015258789
