Date,VMCPX
2022-11-28,283.3800048828125
2022-11-29,283.9800109863281
2022-11-30,292.2200012207031
2022-12-01,293.0799865722656
2022-12-02,292.6300048828125
2022-12-05,285.9599914550781
2022-12-06,282.44000244140625
2022-12-07,282.239990234375
2022-12-08,284.3500061035156
2022-12-09,282.17999267578125
2022-12-12,286.6600036621094
2022-12-13,289.04998779296875
2022-12-14,286.9800109863281
2022-12-15,280.19000244140625
2022-12-16,276.8900146484375
2022-12-19,273.8599853515625
2022-12-20,274.42999267578125
2022-12-21,277.1099853515625
2022-12-22,273.5400085449219
2022-12-23,275.2300109863281
2022-12-27,274.8699951171875
2022-12-28,271.1000061035156
2022-12-29,276.3599853515625
2022-12-30,275.05999755859375
2023-01-03,273.7300109863281
2023-01-04,277.80999755859375
2023-01-05,274.1400146484375
