Date,NEWCX
2022-11-25,63.849998474121094
2022-11-28,63.060001373291016
2022-11-29,63.630001068115234
2022-11-30,65.4800033569336
2022-12-01,65.45999908447266
2022-12-02,65.54000091552734
2022-12-05,64.80999755859375
2022-12-06,64.31999969482422
2022-12-07,64.0999984741211
2022-12-08,64.70999908447266
2022-12-09,64.56999969482422
2022-12-12,64.72000122070312
2022-12-13,65.08000183105469
2022-12-14,65.2300033569336
2022-12-15,63.72999954223633
2022-12-16,63.279998779296875
2022-12-19,63.02000045776367
2022-12-20,63.150001525878906
2022-12-21,63.790000915527344
2022-12-22,63.20000076293945
2022-12-23,63.380001068115234
2022-12-27,63.45000076293945
2022-12-28,62.939998626708984
2022-12-29,63.900001525878906
2022-12-30,63.4900016784668
2023-01-03,63.470001220703125
2023-01-04,64.2300033569336
