Date,CWIAX
2022-11-25,52.540000915527344
2022-11-28,51.77000045776367
2022-11-29,52.029998779296875
2022-11-30,53.43000030517578
2022-12-01,53.59000015258789
2022-12-02,53.540000915527344
2022-12-05,52.77000045776367
2022-12-06,52.31999969482422
2022-12-07,52.16999816894531
2022-12-08,52.61000061035156
2022-12-09,52.5099983215332
2022-12-12,52.84000015258789
2022-12-13,52.939998626708984
2022-12-14,52.88999938964844
2022-12-15,51.68000030517578
2022-12-16,51.15999984741211
2022-12-19,50.900001525878906
2022-12-20,51.040000915527344
2022-12-21,51.68000030517578
2022-12-22,51.11000061035156
2022-12-23,51.34000015258789
2022-12-27,51.36000061035156
2022-12-28,50.81999969482422
2022-12-29,51.599998474121094
2022-12-30,51.369998931884766
2023-01-03,51.29999923706055
2023-01-04,51.75
