Date,AGTHX
2022-11-23,53.959999084472656
2022-11-25,53.95000076293945
2022-11-28,53.13999938964844
2022-11-29,53.130001068115234
2022-11-30,55.04999923706055
2022-12-01,55.130001068115234
2022-12-02,55.150001525878906
2022-12-05,53.95000076293945
2022-12-06,53.11000061035156
2022-12-07,53.02000045776367
2022-12-08,53.459999084472656
2022-12-09,53.189998626708984
2022-12-12,53.720001220703125
2022-12-13,54.16999816894531
2022-12-14,53.95000076293945
2022-12-15,52.619998931884766
2022-12-16,50.0099983215332
2022-12-19,49.45000076293945
2022-12-20,49.459999084472656
2022-12-21,50.209999084472656
2022-12-22,49.34000015258789
2022-12-23,49.5099983215332
2022-12-27,49.13999938964844
2022-12-28,48.59000015258789
2022-12-29,49.61000061035156
2022-12-30,49.4900016784668
2023-01-03,49.25
