Date,VICBX
2022-11-22,25.90999984741211
2022-11-23,26.049999237060547
2022-11-25,26.100000381469727
2022-11-28,26.040000915527344
2022-11-29,25.93000030517578
2022-11-30,26.06999969482422
2022-12-01,26.329999923706055
2022-12-02,26.399999618530273
2022-12-05,26.200000762939453
2022-12-06,26.31999969482422
2022-12-07,26.5
2022-12-08,26.40999984741211
2022-12-09,26.280000686645508
2022-12-12,26.270000457763672
2022-12-13,26.469999313354492
2022-12-14,26.520000457763672
2022-12-15,26.540000915527344
2022-12-16,26.479999542236328
2022-12-19,26.309999465942383
2022-12-20,26.1299991607666
2022-12-21,26.190000534057617
2022-12-22,26.110000610351562
2022-12-23,26.030000686645508
2022-12-27,25.8799991607666
2022-12-28,25.829999923706055
2022-12-29,25.920000076293945
2022-12-30,25.84000015258789
