Date,CLBCX
2022-11-25,29.420000076293945
2022-11-28,29.15999984741211
2022-11-29,29.149999618530273
2022-11-30,29.700000762939453
2022-12-01,29.770000457763672
2022-12-02,29.809999465942383
2022-12-05,29.43000030517578
2022-12-06,29.239999771118164
2022-12-07,29.31999969482422
2022-12-08,29.40999984741211
2022-12-09,29.229999542236328
2022-12-12,29.469999313354492
2022-12-13,29.549999237060547
2022-12-14,29.5
2022-12-15,29.1200008392334
2022-12-16,28.8799991607666
2022-12-19,28.700000762939453
2022-12-20,28.670000076293945
2022-12-21,28.950000762939453
2022-12-22,28.729999542236328
2022-12-23,28.829999923706055
2022-12-27,28.770000457763672
2022-12-28,28.530000686645508
2022-12-29,28.81999969482422
2022-12-30,28.739999771118164
2023-01-03,28.709999084472656
2023-01-04,28.850000381469727
