Date,RIDHX
2022-11-25,23.90999984741211
2022-11-28,23.690000534057617
2022-11-29,23.739999771118164
2022-11-30,24.09000015258789
2022-12-01,24.149999618530273
2022-12-02,24.15999984741211
2022-12-05,23.889999389648438
2022-12-06,23.75
2022-12-07,23.780000686645508
2022-12-08,23.889999389648438
2022-12-09,23.81999969482422
2022-12-12,23.979999542236328
2022-12-13,23.020000457763672
2022-12-14,23.010000228881836
2022-12-15,22.739999771118164
2022-12-16,22.530000686645508
2022-12-19,22.450000762939453
2022-12-20,22.450000762939453
2022-12-21,22.65999984741211
2022-12-22,22.540000915527344
2022-12-23,22.639999389648438
2022-12-27,22.65999984741211
2022-12-28,22.469999313354492
2022-12-29,22.639999389648438
2022-12-30,22.579999923706055
2023-01-03,22.56999969482422
2023-01-04,22.709999084472656
