Date,FMACX
2022-11-25,31.329999923706055
2022-11-28,30.8700008392334
2022-11-29,30.790000915527344
2022-11-30,31.940000534057617
2022-12-01,32.08000183105469
2022-12-02,32.029998779296875
2022-12-05,31.450000762939453
2022-12-06,31.010000228881836
2022-12-07,30.969999313354492
2022-12-08,31.329999923706055
2022-12-09,31.18000030517578
2022-12-12,31.579999923706055
2022-12-13,31.889999389648438
2022-12-14,31.729999542236328
2022-12-15,30.860000610351562
2022-12-16,30.540000915527344
2022-12-19,30.209999084472656
2022-12-20,30.209999084472656
2022-12-21,30.649999618530273
2022-12-22,30.229999542236328
2022-12-23,30.299999237060547
2022-12-27,30.1299991607666
2022-12-28,29.829999923706055
2022-12-29,30.469999313354492
2022-12-30,30.3700008392334
2023-01-03,30.290000915527344
