Date,VTSMX
2022-11-25,98.0199966430664
2022-11-28,96.45999908447266
2022-11-29,96.36000061035156
2022-11-30,99.36000061035156
2022-12-01,99.31999969482422
2022-12-02,99.26000213623047
2022-12-05,97.30999755859375
2022-12-06,95.88999938964844
2022-12-07,95.69999694824219
2022-12-08,96.44999694824219
2022-12-09,95.70999908447266
2022-12-12,97.08000183105469
2022-12-13,97.80000305175781
2022-12-14,97.25
2022-12-15,94.80999755859375
2022-12-16,93.77999877929688
2022-12-19,92.8499984741211
2022-12-20,93.0
2022-12-21,93.98999786376953
2022-12-22,92.63999938964844
2022-12-23,93.1500015258789
2022-12-27,92.75
2022-12-28,91.5999984741211
2022-12-29,93.31999969482422
2022-12-30,93.08999633789062
2023-01-03,92.68000030517578
2023-01-04,93.4800033569336
