Date,SFCWX
2022-11-23,58.95000076293945
2022-11-25,59.15999984741211
2022-11-28,58.33000183105469
2022-11-29,58.400001525878906
2022-11-30,60.0099983215332
2022-12-01,60.43000030517578
2022-12-02,60.59000015258789
2022-12-05,59.369998931884766
2022-12-06,58.540000915527344
2022-12-07,58.58000183105469
2022-12-08,59.060001373291016
2022-12-09,58.84000015258789
2022-12-12,59.33000183105469
2022-12-13,59.90999984741211
2022-12-14,59.880001068115234
2022-12-15,58.20000076293945
2022-12-16,57.7400016784668
2022-12-19,57.060001373291016
2022-12-20,57.20000076293945
2022-12-21,57.83000183105469
2022-12-22,57.150001525878906
2022-12-23,57.15999984741211
2022-12-27,56.97999954223633
2022-12-28,56.369998931884766
2022-12-29,57.54999923706055
2022-12-30,57.29999923706055
2023-01-03,57.13999938964844
