Date,VEMAX
2022-11-23,32.18000030517578
2022-11-25,32.189998626708984
2022-11-28,32.060001373291016
2022-11-29,32.66999816894531
2022-11-30,33.63999938964844
2022-12-01,33.4900016784668
2022-12-02,33.689998626708984
2022-12-05,33.47999954223633
2022-12-06,33.40999984741211
2022-12-07,33.150001525878906
2022-12-08,33.54999923706055
2022-12-09,33.45000076293945
2022-12-12,33.220001220703125
2022-12-13,33.279998779296875
2022-12-14,33.43000030517578
2022-12-15,32.84000015258789
2022-12-16,32.290000915527344
2022-12-19,32.31999969482422
2022-12-20,32.220001220703125
2022-12-21,32.459999084472656
2022-12-22,32.25
2022-12-23,32.16999816894531
2022-12-27,32.52000045776367
2022-12-28,32.29999923706055
2022-12-29,32.709999084472656
2022-12-30,32.40999984741211
2023-01-03,32.709999084472656
