Date,WMFFX
2022-11-23,54.33000183105469
2022-11-25,54.47999954223633
2022-11-28,53.790000915527344
2022-11-29,53.81999969482422
2022-11-30,55.099998474121094
2022-12-01,54.970001220703125
2022-12-02,54.959999084472656
2022-12-05,54.150001525878906
2022-12-06,53.619998931884766
2022-12-07,53.619998931884766
2022-12-08,53.959999084472656
2022-12-09,53.619998931884766
2022-12-12,54.380001068115234
2022-12-13,54.66999816894531
2022-12-14,54.529998779296875
2022-12-15,53.45000076293945
2022-12-16,51.709999084472656
2022-12-19,51.400001525878906
2022-12-20,51.38999938964844
2022-12-21,52.119998931884766
2022-12-22,51.58000183105469
2022-12-23,51.880001068115234
2022-12-27,51.900001525878906
2022-12-28,51.38999938964844
2022-12-29,52.029998779296875
2022-12-30,51.91999816894531
2023-01-03,51.7400016784668
