Date,CNPFX
2022-11-25,49.91999816894531
2022-11-28,49.2599983215332
2022-11-29,49.349998474121094
2022-11-30,50.959999084472656
2022-12-01,51.13999938964844
2022-12-02,51.119998931884766
2022-12-05,50.2599983215332
2022-12-06,49.68000030517578
2022-12-07,49.52000045776367
2022-12-08,49.93000030517578
2022-12-09,49.790000915527344
2022-12-12,50.08000183105469
2022-12-13,50.5
2022-12-14,50.38999938964844
2022-12-15,47.130001068115234
2022-12-16,46.619998931884766
2022-12-19,46.2599983215332
2022-12-20,46.290000915527344
2022-12-21,46.88999938964844
2022-12-22,46.279998779296875
2022-12-23,46.380001068115234
2022-12-27,46.18000030517578
2022-12-28,45.72999954223633
2022-12-29,46.58000183105469
2022-12-30,46.349998474121094
2023-01-03,46.33000183105469
2023-01-04,46.869998931884766
