Date,ANWPX
2022-11-28,50.18000030517578
2022-11-29,50.27000045776367
2022-11-30,51.900001525878906
2022-12-01,52.09000015258789
2022-12-02,52.06999969482422
2022-12-05,51.189998626708984
2022-12-06,50.599998474121094
2022-12-07,50.439998626708984
2022-12-08,50.86000061035156
2022-12-09,50.709999084472656
2022-12-12,51.0099983215332
2022-12-13,51.439998626708984
2022-12-14,51.31999969482422
2022-12-15,48.11000061035156
2022-12-16,47.59000015258789
2022-12-19,47.220001220703125
2022-12-20,47.2599983215332
2022-12-21,47.86000061035156
2022-12-22,47.25
2022-12-23,47.34000015258789
2022-12-27,47.13999938964844
2022-12-28,46.68000030517578
2022-12-29,47.54999923706055
2022-12-30,47.310001373291016
2023-01-03,47.290000915527344
2023-01-04,47.84000015258789
2023-01-05,47.459999084472656
