Date,VDIGX
2022-11-23,36.599998474121094
2022-11-25,36.7599983215332
2022-11-28,36.290000915527344
2022-11-29,36.279998779296875
2022-11-30,37.11000061035156
2022-12-01,37.06999969482422
2022-12-02,37.209999084472656
2022-12-05,36.689998626708984
2022-12-06,36.349998474121094
2022-12-07,36.470001220703125
2022-12-08,36.75
2022-12-09,36.470001220703125
2022-12-12,36.970001220703125
2022-12-13,37.09000015258789
2022-12-14,37.0099983215332
2022-12-15,36.25
2022-12-16,35.86000061035156
2022-12-19,35.65999984741211
2022-12-20,35.689998626708984
2022-12-21,36.2400016784668
2022-12-22,35.959999084472656
2022-12-23,36.15999984741211
2022-12-27,36.22999954223633
2022-12-28,34.970001220703125
2022-12-29,35.380001068115234
2022-12-30,35.22999954223633
2023-01-03,35.15999984741211
2023-01-04,35.36000061035156
