Date,RERCX
2022-11-25,49.08000183105469
2022-11-28,48.34000015258789
2022-11-29,48.619998931884766
2022-11-30,49.93000030517578
2022-12-01,50.2599983215332
2022-12-02,50.15999984741211
2022-12-05,49.41999816894531
2022-12-06,49.02000045776367
2022-12-07,48.84000015258789
2022-12-08,49.189998626708984
2022-12-09,49.22999954223633
2022-12-12,49.380001068115234
2022-12-13,49.900001525878906
2022-12-14,49.97999954223633
2022-12-15,48.15999984741211
2022-12-16,47.709999084472656
2022-12-19,47.5099983215332
2022-12-20,47.59000015258789
2022-12-21,48.04999923706055
2022-12-22,47.529998779296875
2022-12-23,47.66999816894531
2022-12-27,47.7599983215332
2022-12-28,47.2599983215332
2022-12-29,48.119998931884766
2022-12-30,47.72999954223633
2023-01-03,47.849998474121094
2023-01-04,48.40999984741211
