Date,GFACX
2022-11-23,47.63999938964844
2022-11-25,47.630001068115234
2022-11-28,46.91999816894531
2022-11-29,46.900001525878906
2022-11-30,48.599998474121094
2022-12-01,48.66999816894531
2022-12-02,48.68000030517578
2022-12-05,47.619998931884766
2022-12-06,46.880001068115234
2022-12-07,46.810001373291016
2022-12-08,47.189998626708984
2022-12-09,46.95000076293945
2022-12-12,47.41999816894531
2022-12-13,47.810001373291016
2022-12-14,47.61000061035156
2022-12-15,46.439998626708984
2022-12-16,44.06999969482422
2022-12-19,43.56999969482422
2022-12-20,43.58000183105469
2022-12-21,44.22999954223633
2022-12-22,43.470001220703125
2022-12-23,43.61000061035156
2022-12-27,43.290000915527344
2022-12-28,42.810001373291016
2022-12-29,43.70000076293945
2022-12-30,43.59000015258789
