Date,AMFCX
2022-11-28,49.900001525878906
2022-11-29,49.869998931884766
2022-11-30,50.880001068115234
2022-12-01,50.86000061035156
2022-12-02,50.93000030517578
2022-12-05,50.25
2022-12-06,49.81999969482422
2022-12-07,49.84000015258789
2022-12-08,50.130001068115234
2022-12-09,49.75
2022-12-12,50.38999938964844
2022-12-13,50.56999969482422
2022-12-14,48.70000076293945
2022-12-15,47.849998474121094
2022-12-16,47.36000061035156
2022-12-19,47.13999938964844
2022-12-20,47.13999938964844
2022-12-21,47.7400016784668
2022-12-22,47.36000061035156
2022-12-23,47.650001525878906
2022-12-27,47.709999084472656
2022-12-28,47.2599983215332
2022-12-29,47.7599983215332
2022-12-30,47.599998474121094
2023-01-03,47.470001220703125
2023-01-04,47.75
2023-01-05,47.33000183105469
