Date,RFNEX
2022-11-23,63.11000061035156
2022-11-25,63.20000076293945
2022-11-28,62.25
2022-11-29,62.310001373291016
2022-11-30,64.12000274658203
2022-12-01,64.08999633789062
2022-12-02,64.06999969482422
2022-12-05,62.97999954223633
2022-12-06,62.220001220703125
2022-12-07,62.150001525878906
2022-12-08,62.599998474121094
2022-12-09,62.33000183105469
2022-12-12,63.08000183105469
2022-12-13,63.560001373291016
2022-12-14,63.34000015258789
2022-12-15,61.84000015258789
2022-12-16,59.95000076293945
2022-12-19,59.5099983215332
2022-12-20,59.650001525878906
2022-12-21,60.540000915527344
2022-12-22,59.79999923706055
2022-12-23,60.13999938964844
2022-12-27,60.04999923706055
2022-12-28,59.349998474121094
2022-12-29,60.27000045776367
2022-12-30,60.09000015258789
2023-01-03,59.869998931884766
