Date,RMFGX
2022-11-23,51.36000061035156
2022-11-25,51.5
2022-11-28,50.83000183105469
2022-11-29,50.79999923706055
2022-11-30,51.84000015258789
2022-12-01,51.81999969482422
2022-12-02,51.880001068115234
2022-12-05,51.189998626708984
2022-12-06,50.7599983215332
2022-12-07,50.790000915527344
2022-12-08,51.08000183105469
2022-12-09,50.689998626708984
2022-12-12,51.349998474121094
2022-12-13,51.540000915527344
2022-12-14,49.540000915527344
2022-12-15,48.66999816894531
2022-12-16,48.18000030517578
2022-12-19,47.95000076293945
2022-12-20,47.959999084472656
2022-12-21,48.56999969482422
2022-12-22,48.189998626708984
2022-12-23,48.47999954223633
2022-12-27,48.54999923706055
2022-12-28,48.09000015258789
2022-12-29,48.599998474121094
2022-12-30,48.439998626708984
2023-01-03,48.31999969482422
