Date,CAIFX
2022-11-23,63.97999954223633
2022-11-25,64.16999816894531
2022-11-28,63.52000045776367
2022-11-29,63.68000030517578
2022-11-30,64.80999755859375
2022-12-01,65.06999969482422
2022-12-02,65.11000061035156
2022-12-05,64.44000244140625
2022-12-06,64.12000274658203
2022-12-07,64.12999725341797
2022-12-08,64.3499984741211
2022-12-09,64.2300033569336
2022-12-12,64.5999984741211
2022-12-13,65.0
2022-12-14,64.94000244140625
2022-12-15,64.08000183105469
2022-12-16,62.689998626708984
2022-12-19,62.540000915527344
2022-12-20,62.529998779296875
2022-12-21,63.130001068115234
2022-12-22,62.779998779296875
2022-12-23,63.02000045776367
2022-12-27,63.08000183105469
2022-12-28,62.599998474121094
2022-12-29,63.13999938964844
2022-12-30,62.91999816894531
2023-01-03,62.90999984741211
