Date,PRUFX
2022-11-23,68.41000366210938
2022-11-25,68.16999816894531
2022-11-28,67.20999908447266
2022-11-29,66.80000305175781
2022-11-30,69.88999938964844
2022-12-01,69.91999816894531
2022-12-02,69.72000122070312
2022-12-05,68.33000183105469
2022-12-06,67.0
2022-12-07,66.80000305175781
2022-12-08,67.58999633789062
2022-12-09,67.0
2022-12-12,67.95999908447266
2022-12-13,66.4800033569336
2022-12-14,66.08999633789062
2022-12-15,63.869998931884766
2022-12-16,63.0
2022-12-19,62.150001525878906
2022-12-20,62.02000045776367
2022-12-21,62.84000015258789
2022-12-22,61.5099983215332
2022-12-23,61.66999816894531
2022-12-27,61.13999938964844
2022-12-28,60.369998931884766
2022-12-29,61.83000183105469
2022-12-30,61.720001220703125
2023-01-03,61.47999954223633
