Date,TRSAX
2022-11-25,65.91999816894531
2022-11-28,64.98999786376953
2022-11-29,64.58999633789062
2022-11-30,67.58000183105469
2022-12-01,67.61000061035156
2022-12-02,67.41000366210938
2022-12-05,66.06999969482422
2022-12-06,64.77999877929688
2022-12-07,64.58999633789062
2022-12-08,65.3499984741211
2022-12-09,64.77999877929688
2022-12-12,65.70999908447266
2022-12-13,64.19999694824219
2022-12-14,63.81999969482422
2022-12-15,61.68000030517578
2022-12-16,60.84000015258789
2022-12-19,60.0099983215332
2022-12-20,59.88999938964844
2022-12-21,60.68000030517578
2022-12-22,59.400001525878906
2022-12-23,59.54999923706055
2022-12-27,59.029998779296875
2022-12-28,58.290000915527344
2022-12-29,59.70000076293945
2022-12-30,59.59000015258789
2023-01-03,59.36000061035156
