Date,RGAHX
2022-11-23,53.43000030517578
2022-11-25,53.41999816894531
2022-11-28,52.619998931884766
2022-11-29,52.599998474121094
2022-11-30,54.5099983215332
2022-12-01,54.59000015258789
2022-12-02,54.61000061035156
2022-12-05,53.41999816894531
2022-12-06,52.59000015258789
2022-12-07,52.5
2022-12-08,52.939998626708984
2022-12-09,52.66999816894531
2022-12-12,53.20000076293945
2022-12-13,53.63999938964844
2022-12-14,53.41999816894531
2022-12-15,52.11000061035156
2022-12-16,49.40999984741211
2022-12-19,48.849998474121094
2022-12-20,48.86000061035156
2022-12-21,49.599998474121094
2022-12-22,48.7400016784668
2022-12-23,48.900001525878906
2022-12-27,48.54999923706055
2022-12-28,48.0
2022-12-29,49.0099983215332
2022-12-30,48.88999938964844
2023-01-03,48.650001525878906
