Date,VIGRX
2022-11-28,115.7699966430664
2022-11-29,114.93000030517578
2022-11-30,120.12999725341797
2022-12-01,120.3499984741211
2022-12-02,120.05999755859375
2022-12-05,117.61000061035156
2022-12-06,115.16999816894531
2022-12-07,114.70999908447266
2022-12-08,116.0
2022-12-09,115.2300033569336
2022-12-12,116.94000244140625
2022-12-13,118.38999938964844
2022-12-14,117.48999786376953
2022-12-15,113.66999816894531
2022-12-16,112.19999694824219
2022-12-19,110.44999694824219
2022-12-20,110.4800033569336
2022-12-21,112.05999755859375
2022-12-22,109.62999725341797
2022-12-23,110.04000091552734
2022-12-27,108.75
2022-12-28,107.31999969482422
2022-12-29,110.06999969482422
2022-12-30,109.76000213623047
2023-01-03,109.01000213623047
2023-01-04,109.69999694824219
2023-01-05,107.76000213623047
