Date,CIRFX
2022-11-25,64.18000030517578
2022-11-28,63.529998779296875
2022-11-29,63.70000076293945
2022-11-30,64.83000183105469
2022-12-01,65.08999633789062
2022-12-02,65.12000274658203
2022-12-05,64.44999694824219
2022-12-06,64.12999725341797
2022-12-07,64.1500015258789
2022-12-08,64.36000061035156
2022-12-09,64.23999786376953
2022-12-12,64.61000061035156
2022-12-13,65.0199966430664
2022-12-14,64.95999908447266
2022-12-15,64.0999984741211
2022-12-16,62.709999084472656
2022-12-19,62.56999969482422
2022-12-20,62.54999923706055
2022-12-21,63.15999984741211
2022-12-22,62.810001373291016
2022-12-23,63.04999923706055
2022-12-27,63.11000061035156
2022-12-28,62.630001068115234
2022-12-29,63.16999816894531
2022-12-30,62.95000076293945
2023-01-03,62.939998626708984
