Date,RMFAX
2022-11-25,50.79999923706055
2022-11-28,50.130001068115234
2022-11-29,50.099998474121094
2022-11-30,51.119998931884766
2022-12-01,51.099998474121094
2022-12-02,51.15999984741211
2022-12-05,50.47999954223633
2022-12-06,50.04999923706055
2022-12-07,50.06999969482422
2022-12-08,50.36000061035156
2022-12-09,49.97999954223633
2022-12-12,50.619998931884766
2022-12-13,50.810001373291016
2022-12-14,48.939998626708984
2022-12-15,48.08000183105469
2022-12-16,47.59000015258789
2022-12-19,47.36000061035156
2022-12-20,47.369998931884766
2022-12-21,47.970001220703125
2022-12-22,47.59000015258789
2022-12-23,47.880001068115234
2022-12-27,47.939998626708984
2022-12-28,47.4900016784668
2022-12-29,47.9900016784668
2022-12-30,47.83000183105469
2023-01-03,47.70000076293945
