Date,FBGKX
2022-11-23,122.30999755859375
2022-11-25,121.68000030517578
2022-11-28,119.81999969482422
2022-11-29,119.37000274658203
2022-11-30,124.88999938964844
2022-12-01,125.0199966430664
2022-12-02,124.83999633789062
2022-12-05,122.05000305175781
2022-12-06,119.19999694824219
2022-12-07,118.7300033569336
2022-12-08,120.37999725341797
2022-12-09,119.18000030517578
2022-12-12,120.69999694824219
2022-12-13,122.02999877929688
2022-12-14,121.30000305175781
2022-12-15,117.2300033569336
2022-12-16,115.80999755859375
2022-12-19,113.88999938964844
2022-12-20,113.73999786376953
2022-12-21,115.79000091552734
2022-12-22,112.94999694824219
2022-12-23,113.31999969482422
2022-12-27,111.5999984741211
2022-12-28,110.0199966430664
2022-12-29,112.97000122070312
2022-12-30,112.95999908447266
2023-01-03,111.8499984741211
