Date,RWMBX
2022-11-25,53.47999954223633
2022-11-28,52.810001373291016
2022-11-29,52.83000183105469
2022-11-30,54.09000015258789
2022-12-01,53.959999084472656
2022-12-02,53.95000076293945
2022-12-05,53.150001525878906
2022-12-06,52.630001068115234
2022-12-07,52.619998931884766
2022-12-08,52.959999084472656
2022-12-09,52.619998931884766
2022-12-12,53.369998931884766
2022-12-13,53.650001525878906
2022-12-14,53.5099983215332
2022-12-15,52.45000076293945
2022-12-16,50.84000015258789
2022-12-19,50.529998779296875
2022-12-20,50.529998779296875
2022-12-21,51.2400016784668
2022-12-22,50.709999084472656
2022-12-23,51.0
2022-12-27,51.0099983215332
2022-12-28,50.5099983215332
2022-12-29,51.13999938964844
2022-12-30,51.029998779296875
2023-01-03,50.84000015258789
2023-01-04,51.02000045776367
