Date,CWMFX
2022-11-25,54.18000030517578
2022-11-28,53.5
2022-11-29,53.529998779296875
2022-11-30,54.79999923706055
2022-12-01,54.66999816894531
2022-12-02,54.65999984741211
2022-12-05,53.86000061035156
2022-12-06,53.33000183105469
2022-12-07,53.33000183105469
2022-12-08,53.66999816894531
2022-12-09,53.31999969482422
2022-12-12,54.09000015258789
2022-12-13,54.369998931884766
2022-12-14,54.2400016784668
2022-12-15,53.15999984741211
2022-12-16,51.43000030517578
2022-12-19,51.119998931884766
2022-12-20,51.11000061035156
2022-12-21,51.84000015258789
2022-12-22,51.29999923706055
2022-12-23,51.599998474121094
2022-12-27,51.619998931884766
2022-12-28,51.11000061035156
2022-12-29,51.75
2022-12-30,51.630001068115234
2023-01-03,51.45000076293945
2023-01-04,51.630001068115234
