Date,VIEIX
2022-11-23,106.7699966430664
2022-11-25,107.05999755859375
2022-11-28,105.0
2022-11-29,105.19999694824219
2022-11-30,108.43000030517578
2022-12-01,108.58999633789062
2022-12-02,108.7699966430664
2022-12-05,105.55999755859375
2022-12-06,103.87000274658203
2022-12-07,103.58999633789062
2022-12-08,104.55999755859375
2022-12-09,103.5199966430664
2022-12-12,105.05000305175781
2022-12-13,105.95999908447266
2022-12-14,105.4800033569336
2022-12-15,102.66999816894531
2022-12-16,101.69999694824219
2022-12-19,100.08000183105469
2022-12-20,100.58000183105469
2022-12-21,101.72000122070312
2022-12-22,100.26000213623047
2022-12-23,100.5999984741211
2022-12-27,99.95999908447266
2022-12-28,98.5199966430664
2022-12-29,101.04000091552734
2022-12-30,100.83999633789062
2023-01-03,100.20999908447266
