Date,CGFAX
2022-11-23,53.18000030517578
2022-11-25,53.16999816894531
2022-11-28,52.369998931884766
2022-11-29,52.36000061035156
2022-11-30,54.25
2022-12-01,54.33000183105469
2022-12-02,54.349998474121094
2022-12-05,53.16999816894531
2022-12-06,52.34000015258789
2022-12-07,52.2599983215332
2022-12-08,52.68000030517578
2022-12-09,52.40999984741211
2022-12-12,52.939998626708984
2022-12-13,53.380001068115234
2022-12-14,53.15999984741211
2022-12-15,51.86000061035156
2022-12-16,49.27000045776367
2022-12-19,48.720001220703125
2022-12-20,48.72999954223633
2022-12-21,49.459999084472656
2022-12-22,48.599998474121094
2022-12-23,48.77000045776367
2022-12-27,48.40999984741211
2022-12-28,47.869998931884766
2022-12-29,48.869998931884766
2022-12-30,48.7599983215332
2023-01-03,48.52000045776367
