Date,FNFWX
2022-11-28,66.58000183105469
2022-11-29,67.19000244140625
2022-11-30,69.13999938964844
2022-12-01,69.12000274658203
2022-12-02,69.20999908447266
2022-12-05,68.44000244140625
2022-12-06,67.93000030517578
2022-12-07,67.69999694824219
2022-12-08,68.3499984741211
2022-12-09,68.19999694824219
2022-12-12,68.36000061035156
2022-12-13,68.73999786376953
2022-12-14,68.91000366210938
2022-12-15,66.52999877929688
2022-12-16,66.05999755859375
2022-12-19,65.79000091552734
2022-12-20,65.93000030517578
2022-12-21,66.5999984741211
2022-12-22,65.98999786376953
2022-12-23,66.18000030517578
2022-12-27,66.26000213623047
2022-12-28,65.7300033569336
2022-12-29,66.73999786376953
2022-12-30,66.30999755859375
2023-01-03,66.29000091552734
2023-01-04,67.08999633789062
