Date,AMPCX
2022-11-23,25.450000762939453
2022-11-25,25.43000030517578
2022-11-28,25.049999237060547
2022-11-29,24.979999542236328
2022-11-30,25.920000076293945
2022-12-01,26.030000686645508
2022-12-02,25.989999771118164
2022-12-05,25.520000457763672
2022-12-06,25.149999618530273
2022-12-07,25.1299991607666
2022-12-08,25.40999984741211
2022-12-09,25.290000915527344
2022-12-12,25.6200008392334
2022-12-13,25.860000610351562
2022-12-14,25.729999542236328
2022-12-15,25.030000686645508
2022-12-16,24.770000457763672
2022-12-19,24.5
2022-12-20,24.5
2022-12-21,24.850000381469727
2022-12-22,24.520000457763672
2022-12-23,24.56999969482422
2022-12-27,24.43000030517578
2022-12-28,24.18000030517578
2022-12-29,24.700000762939453
2022-12-30,24.6200008392334
2023-01-03,24.549999237060547
2023-01-04,24.809999465942383
