Date,CWIFX
2022-11-25,52.56999969482422
2022-11-28,51.79999923706055
2022-11-29,52.060001373291016
2022-11-30,53.459999084472656
2022-12-01,53.619998931884766
2022-12-02,53.56999969482422
2022-12-05,52.79999923706055
2022-12-06,52.349998474121094
2022-12-07,52.209999084472656
2022-12-08,52.63999938964844
2022-12-09,52.540000915527344
2022-12-12,52.880001068115234
2022-12-13,52.95000076293945
2022-12-14,52.90999984741211
2022-12-15,51.689998626708984
2022-12-16,51.16999816894531
2022-12-19,50.91999816894531
2022-12-20,51.060001373291016
2022-12-21,51.70000076293945
2022-12-22,51.130001068115234
2022-12-23,51.36000061035156
2022-12-27,51.380001068115234
2022-12-28,50.84000015258789
2022-12-29,51.619998931884766
2022-12-30,51.38999938964844
2023-01-03,51.31999969482422
