Date,FESGX
2022-11-23,57.81999969482422
2022-11-25,57.970001220703125
2022-11-28,57.2599983215332
2022-11-29,57.52000045776367
2022-11-30,58.650001525878906
2022-12-01,56.54999923706055
2022-12-02,56.5
2022-12-05,55.52000045776367
2022-12-06,55.209999084472656
2022-12-07,55.27000045776367
2022-12-08,55.5
2022-12-09,55.290000915527344
2022-12-12,55.59000015258789
2022-12-13,56.099998474121094
2022-12-14,56.040000915527344
2022-12-15,54.970001220703125
2022-12-16,54.720001220703125
2022-12-19,54.619998931884766
2022-12-20,55.060001373291016
2022-12-21,55.540000915527344
2022-12-22,55.119998931884766
2022-12-23,55.43000030517578
2022-12-27,55.560001373291016
2022-12-28,55.029998779296875
2022-12-29,55.650001525878906
2022-12-30,55.4900016784668
2023-01-03,55.689998626708984
