Date,MEIGX
2022-11-28,49.880001068115234
2022-11-29,49.970001220703125
2022-11-30,50.959999084472656
2022-12-01,50.91999816894531
2022-12-02,50.97999954223633
2022-12-05,50.15999984741211
2022-12-06,49.709999084472656
2022-12-07,49.7400016784668
2022-12-08,50.02000045776367
2022-12-09,49.65999984741211
2022-12-12,50.34000015258789
2022-12-13,50.66999816894531
2022-12-14,50.31999969482422
2022-12-15,46.5
2022-12-16,45.95000076293945
2022-12-19,45.77000045776367
2022-12-20,45.84000015258789
2022-12-21,46.56999969482422
2022-12-22,46.150001525878906
2022-12-23,46.459999084472656
2022-12-27,46.52000045776367
2022-12-28,46.09000015258789
2022-12-29,46.650001525878906
2022-12-30,46.47999954223633
2023-01-03,46.470001220703125
2023-01-04,46.880001068115234
2023-01-05,46.369998931884766
