Date,FWGIX
2022-11-23,52.61000061035156
2022-11-25,52.75
2022-11-28,51.970001220703125
2022-11-29,52.2400016784668
2022-11-30,53.650001525878906
2022-12-01,53.810001373291016
2022-12-02,53.7599983215332
2022-12-05,52.9900016784668
2022-12-06,52.529998779296875
2022-12-07,52.38999938964844
2022-12-08,52.81999969482422
2022-12-09,52.72999954223633
2022-12-12,53.06999969482422
2022-12-13,53.11000061035156
2022-12-14,53.06999969482422
2022-12-15,51.849998474121094
2022-12-16,51.33000183105469
2022-12-19,51.06999969482422
2022-12-20,51.209999084472656
2022-12-21,51.86000061035156
2022-12-22,51.290000915527344
2022-12-23,51.52000045776367
2022-12-27,51.540000915527344
2022-12-28,51.0
2022-12-29,51.779998779296875
2022-12-30,51.54999923706055
2023-01-03,51.47999954223633
