Date,LIFW
2024-05-30,17.174999237060547
2024-05-31,17.875
2024-06-03,17.575000762939453
2024-06-04,17.725000381469727
2024-06-05,17.625
2024-06-06,17.475000381469727
2024-06-07,17.475000381469727
2024-06-10,16.950000762939453
2024-06-11,16.950000762939453
2024-06-12,16.899999618530273
2024-06-13,16.25
2024-06-14,15.274999618530273
2024-06-17,13.600000381469727
2024-06-18,13.125
2024-06-20,13.024999618530273
2024-06-21,12.574999809265137
2024-06-24,11.925000190734863
2024-06-25,11.425000190734863
2024-06-26,12.350000381469727
2024-06-27,11.75
2024-06-28,11.5
2024-07-01,11.024999618530273
2024-07-02,10.0
2024-07-03,10.149999618530273
2024-07-05,10.050000190734863
2024-07-08,9.975000381469727
2024-07-09,10.274999618530273
2024-07-10,10.050000190734863
2024-07-11,10.050000190734863
2024-07-12,11.324999809265137
2024-07-15,11.25
2024-07-16,11.25
2024-07-17,11.25
2024-07-18,10.899999618530273
2024-07-19,12.5
2024-07-22,12.675000190734863
2024-07-23,10.324999809265137
2024-07-24,9.574999809265137
2024-07-25,9.574999809265137
2024-07-26,10.199999809265137
2024-07-29,9.975000381469727
2024-07-30,9.25
2024-07-31,9.225000381469727
2024-08-01,9.175000190734863
2024-08-02,8.475000381469727
2024-08-05,7.474999904632568
2024-08-06,7.925000190734863
2024-08-07,7.724999904632568
2024-08-08,7.650000095367432
2024-08-09,7.5
2024-08-12,7.300000190734863
2024-08-13,7.199999809265137
2024-08-14,6.650000095367432
2024-08-15,6.875
2024-08-16,5.875
2024-08-19,6.275000095367432
2024-08-20,6.224999904632568
2024-08-21,6.574999809265137
2024-08-22,6.349999904632568
2024-08-23,6.775000095367432
2024-08-26,6.599999904632568
2024-08-27,6.474999904632568
2024-08-28,5.875
2024-08-29,5.849999904632568
2024-08-30,5.650000095367432
2024-09-03,5.375
2024-09-04,5.175000190734863
2024-09-05,4.324999809265137
2024-09-06,4.125
2024-09-09,3.875
2024-09-10,3.9749999046325684
2024-09-11,4.199999809265137
2024-09-12,3.825000047683716
2024-09-13,3.799999952316284
2024-09-16,3.7750000953674316
2024-09-17,4.025000095367432
2024-09-18,4.25
2024-09-19,3.9749999046325684
2024-09-20,4.550000190734863
2024-09-23,4.400000095367432
2024-09-24,4.375
2024-09-25,4.074999809265137
2024-09-26,3.75
2024-09-27,3.825000047683716
2024-09-30,3.75
2024-10-01,3.5250000953674316
2024-10-02,4.050000190734863
2024-10-03,3.7750000953674316
2024-10-04,3.7750000953674316
2024-10-07,3.5999999046325684
2024-10-08,3.549999952316284
2024-10-09,3.375
2024-10-10,3.4749999046325684
2024-10-11,3.575000047683716
2024-10-14,3.625
2024-10-15,3.5999999046325684
2024-10-16,3.549999952316284
2024-10-17,3.674999952316284
2024-10-18,3.5250000953674316
2024-10-21,3.5250000953674316
2024-10-22,3.799999952316284
2024-10-23,3.549999952316284
2024-10-24,3.674999952316284
2024-10-25,3.5250000953674316
2024-10-28,3.5
2024-10-29,3.25
2024-10-30,3.0250000953674316
2024-10-31,2.549999952316284
2024-11-01,2.674999952316284
2024-11-04,2.5250000953674316
2024-11-05,2.7750000953674316
2024-11-06,3.0
2024-11-07,2.875
2024-11-08,3.0999999046325684
2024-11-11,3.174999952316284
2024-11-12,2.8499999046325684
2024-11-13,2.450000047683716
2024-11-14,2.299999952316284
2024-11-15,1.8250000476837158
2024-11-18,1.690000057220459
2024-11-19,1.6799999475479126
2024-11-20,1.6100000143051147
2024-11-21,1.4800000190734863
