Date,AQN
2022-11-25,7.679999828338623
2022-11-28,7.449999809265137
2022-11-29,7.300000190734863
2022-11-30,7.550000190734863
2022-12-01,7.619999885559082
2022-12-02,7.550000190734863
2022-12-05,7.389999866485596
2022-12-06,7.230000019073486
2022-12-07,7.309999942779541
2022-12-08,7.25
2022-12-09,7.190000057220459
2022-12-12,7.309999942779541
2022-12-13,7.25
2022-12-14,7.130000114440918
2022-12-15,7.269999980926514
2022-12-16,6.889999866485596
2022-12-19,6.679999828338623
2022-12-20,6.710000038146973
2022-12-21,6.730000019073486
2022-12-22,6.590000152587891
2022-12-23,6.760000228881836
2022-12-27,6.559999942779541
2022-12-28,6.590000152587891
2022-12-29,6.570000171661377
2022-12-30,6.519999980926514
2023-01-03,6.730000019073486
2023-01-04,6.860000133514404
