Date,HOLO
2023-10-16,157.8000030517578
2023-10-17,122.0
2023-10-18,110.5999984741211
2023-10-19,114.4000015258789
2023-10-20,103.4000015258789
2023-10-23,102.19999694824219
2023-10-24,100.4000015258789
2023-10-25,100.5999984741211
2023-10-26,104.0
2023-10-27,113.0
2023-10-30,156.0
2023-10-31,150.8000030517578
2023-11-01,118.5999984741211
2023-11-02,118.0
2023-11-03,138.1999969482422
2023-11-06,129.1999969482422
2023-11-07,135.8000030517578
2023-11-08,126.5999984741211
2023-11-09,132.8000030517578
2023-11-10,112.0
2023-11-13,118.0
2023-11-14,120.19999694824219
2023-11-15,129.8000030517578
2023-11-16,114.0
2023-11-17,117.5999984741211
2023-11-20,123.5999984741211
2023-11-21,143.0
2023-11-22,140.1999969482422
2023-11-24,164.8000030517578
2023-11-27,190.0
2023-11-28,140.0
2023-11-29,110.0
2023-11-30,100.0
2023-12-01,98.0
2023-12-04,92.4000015258789
2023-12-05,85.5999984741211
2023-12-06,86.5999984741211
2023-12-07,87.0
2023-12-08,84.19999694824219
2023-12-11,80.5999984741211
2023-12-12,85.4000015258789
2023-12-13,83.80000305175781
2023-12-14,93.4000015258789
2023-12-15,91.80000305175781
2023-12-18,86.5999984741211
2023-12-19,87.0
2023-12-20,82.5999984741211
2023-12-21,85.0
2023-12-22,84.0
2023-12-26,82.0
2023-12-27,78.80000305175781
2023-12-28,74.0
2023-12-29,71.0
2024-01-02,71.5999984741211
2024-01-03,64.5999984741211
2024-01-04,62.0
2024-01-05,55.79999923706055
2024-01-08,48.599998474121094
2024-01-09,59.400001525878906
2024-01-10,54.599998474121094
2024-01-11,53.599998474121094
2024-01-12,50.599998474121094
2024-01-16,50.0
2024-01-17,46.20000076293945
2024-01-18,44.0
2024-01-19,40.599998474121094
2024-01-22,44.0
2024-01-23,42.79999923706055
2024-01-24,41.0
2024-01-25,38.79999923706055
2024-01-26,39.0
2024-01-29,45.0
2024-01-30,41.400001525878906
2024-01-31,40.20000076293945
2024-02-01,38.599998474121094
2024-02-02,36.599998474121094
2024-02-05,34.0
2024-02-06,30.200000762939453
2024-02-07,360.0
2024-02-08,574.0
2024-02-09,426.0
2024-02-12,341.6000061035156
2024-02-13,470.3999938964844
2024-02-14,450.6000061035156
2024-02-15,620.0
2024-02-16,1327.199951171875
2024-02-20,328.20001220703125
2024-02-21,310.0
2024-02-22,220.1999969482422
2024-02-23,132.1999969482422
2024-02-26,240.0
2024-02-27,188.60000610351562
2024-02-28,202.0
2024-02-29,194.1999969482422
2024-03-01,180.39999389648438
2024-03-04,155.0
2024-03-05,133.1999969482422
2024-03-06,135.0
2024-03-07,122.0
2024-03-08,108.4000015258789
2024-03-11,99.4000015258789
2024-03-12,97.80000305175781
2024-03-13,134.0
2024-03-14,132.60000610351562
2024-03-15,128.60000610351562
2024-03-18,107.19999694824219
2024-03-19,99.0
2024-03-20,106.80000305175781
2024-03-21,100.5999984741211
2024-03-22,97.19999694824219
2024-03-25,90.0
2024-03-26,80.0
2024-03-27,74.80000305175781
2024-03-28,77.0
2024-04-01,74.0
2024-04-02,63.79999923706055
2024-04-03,77.5999984741211
2024-04-04,73.5999984741211
2024-04-05,67.4000015258789
2024-04-08,65.80000305175781
2024-04-09,65.0
2024-04-10,61.400001525878906
2024-04-11,56.20000076293945
2024-04-12,58.20000076293945
2024-04-15,49.400001525878906
2024-04-16,47.400001525878906
2024-04-17,44.79999923706055
2024-04-18,59.0
2024-04-19,55.79999923706055
2024-04-22,52.79999923706055
2024-04-23,51.20000076293945
2024-04-24,47.0
2024-04-25,50.400001525878906
2024-04-26,50.0
2024-04-29,49.0
2024-04-30,50.599998474121094
2024-05-01,50.79999923706055
2024-05-02,51.0
2024-05-03,45.79999923706055
2024-05-06,42.400001525878906
2024-05-07,38.20000076293945
2024-05-08,38.79999923706055
2024-05-09,35.400001525878906
2024-05-10,34.0
2024-05-13,40.0
2024-05-14,64.5999984741211
2024-05-15,43.599998474121094
2024-05-16,38.20000076293945
2024-05-17,41.400001525878906
2024-05-20,38.29999923706055
2024-05-21,36.400001525878906
2024-05-22,34.79999923706055
2024-05-23,34.0
2024-05-24,33.0
2024-05-28,34.599998474121094
