Date,STRO
2022-11-23,7.699999809265137
2022-11-25,7.420000076293945
2022-11-28,6.980000019073486
2022-11-29,7.309999942779541
2022-11-30,7.489999771118164
2022-12-01,7.420000076293945
2022-12-02,7.099999904632568
2022-12-05,7.389999866485596
2022-12-06,7.409999847412109
2022-12-07,7.559999942779541
2022-12-08,7.880000114440918
2022-12-09,7.46999979019165
2022-12-12,7.619999885559082
2022-12-13,7.610000133514404
2022-12-14,7.5
2022-12-15,7.349999904632568
2022-12-16,7.300000190734863
2022-12-19,7.380000114440918
2022-12-20,6.679999828338623
2022-12-21,7.0
2022-12-22,7.03000020980835
2022-12-23,6.869999885559082
2022-12-27,6.710000038146973
2022-12-28,7.130000114440918
2022-12-29,7.840000152587891
2022-12-30,8.079999923706055
2023-01-03,8.020000457763672
