Date,ALXO
2022-11-29,10.800000190734863
2022-11-30,11.100000381469727
2022-12-01,11.079999923706055
2022-12-02,11.350000381469727
2022-12-05,11.84000015258789
2022-12-06,10.569999694824219
2022-12-07,10.609999656677246
2022-12-08,10.859999656677246
2022-12-09,10.75
2022-12-12,11.300000190734863
2022-12-13,11.460000038146973
2022-12-14,11.220000267028809
2022-12-15,10.5600004196167
2022-12-16,10.430000305175781
2022-12-19,9.510000228881836
2022-12-20,10.0600004196167
2022-12-21,10.59000015258789
2022-12-22,10.300000190734863
2022-12-23,11.140000343322754
2022-12-27,10.739999771118164
2022-12-28,11.149999618530273
2022-12-29,11.460000038146973
2022-12-30,11.270000457763672
2023-01-03,11.199999809265137
2023-01-04,11.710000038146973
2023-01-05,11.699999809265137
2023-01-06,10.949999809265137
