Date,UONE
2022-11-25,5.349999904632568
2022-11-28,5.130000114440918
2022-11-29,4.929999828338623
2022-11-30,4.989999771118164
2022-12-01,5.070000171661377
2022-12-02,5.170000076293945
2022-12-05,5.119999885559082
2022-12-06,5.159999847412109
2022-12-07,5.21999979019165
2022-12-08,5.239999771118164
2022-12-09,5.429999828338623
2022-12-12,5.400000095367432
2022-12-13,5.389999866485596
2022-12-14,5.239999771118164
2022-12-15,5.070000171661377
2022-12-16,4.769999980926514
2022-12-19,4.840000152587891
2022-12-20,4.739999771118164
2022-12-21,4.869999885559082
2022-12-22,4.679999828338623
2022-12-23,4.699999809265137
2022-12-27,4.579999923706055
2022-12-28,4.420000076293945
2022-12-29,4.570000171661377
2022-12-30,4.550000190734863
2023-01-03,4.679999828338623
2023-01-04,4.789999961853027
