Date,SMX
2023-09-06,111.75
2023-09-07,109.5
2023-09-08,105.0
2023-09-11,108.75
2023-09-12,102.75
2023-09-13,105.30000305175781
2023-09-14,113.25
2023-09-15,124.5
2023-09-18,136.5
2023-09-19,127.5
2023-09-20,114.75
2023-09-21,98.25
2023-09-22,98.25
2023-09-25,94.125
2023-09-26,93.30000305175781
2023-09-27,93.75
2023-09-28,96.75
2023-09-29,96.0
2023-10-02,93.75
2023-10-03,96.0
2023-10-04,101.25
2023-10-05,109.5
2023-10-06,106.5
2023-10-09,126.75
2023-10-10,215.25
2023-10-11,190.5
2023-10-12,195.75
2023-10-13,170.25
2023-10-16,153.0
2023-10-17,141.0
2023-10-18,163.5
2023-10-19,153.0
2023-10-20,150.0
2023-10-23,142.5
2023-10-24,143.25
2023-10-25,150.0
2023-10-26,144.375
2023-10-27,133.5
2023-10-30,136.5
2023-10-31,138.75
2023-11-01,136.5
2023-11-02,137.25
2023-11-03,134.25
2023-11-06,126.0
2023-11-07,109.5
2023-11-08,97.5
2023-11-09,92.25
2023-11-10,88.5
2023-11-13,93.75
2023-11-14,92.25
2023-11-15,91.5
2023-11-16,91.5
2023-11-17,88.5
2023-11-20,85.5
2023-11-21,82.5
2023-11-22,75.0
2023-11-24,76.5
2023-11-27,85.875
2023-11-28,87.75
2023-11-29,84.0
2023-11-30,85.5
2023-12-01,81.0
2023-12-04,81.75
2023-12-05,79.5
2023-12-06,79.5
2023-12-07,78.75
2023-12-08,78.0
2023-12-11,72.75
2023-12-12,75.0
2023-12-13,73.5
2023-12-14,73.5
2023-12-15,72.75
2023-12-18,71.25
2023-12-19,66.75
2023-12-20,68.25
2023-12-21,66.07499694824219
2023-12-22,69.0
2023-12-26,65.25
2023-12-27,66.0
2023-12-28,66.0
2023-12-29,53.25
2024-01-02,43.650001525878906
2024-01-03,43.125
2024-01-04,39.07500076293945
2024-01-05,38.400001525878906
2024-01-08,35.25
2024-01-09,31.5
2024-01-10,27.0
2024-01-11,27.225000381469727
2024-01-12,24.450000762939453
2024-01-16,24.075000762939453
2024-01-17,24.674999237060547
2024-01-18,25.950000762939453
2024-01-19,23.774999618530273
2024-01-22,20.325000762939453
2024-01-23,18.0
2024-01-24,16.274999618530273
2024-01-25,17.700000762939453
2024-01-26,32.32500076293945
2024-01-29,25.350000381469727
2024-01-30,35.54999923706055
2024-01-31,30.0
2024-02-01,24.899999618530273
2024-02-02,22.049999237060547
2024-02-05,18.450000762939453
2024-02-06,17.399999618530273
2024-02-07,30.0
2024-02-08,26.399999618530273
2024-02-09,27.0
2024-02-12,25.350000381469727
2024-02-13,22.5
2024-02-14,23.475000381469727
2024-02-15,22.125
2024-02-16,25.125
2024-02-20,24.75
2024-02-21,26.024999618530273
2024-02-22,26.174999237060547
2024-02-23,25.049999237060547
2024-02-26,19.950000762939453
2024-02-27,26.25
2024-02-28,16.350000381469727
2024-02-29,15.149999618530273
2024-03-01,15.074999809265137
2024-03-04,14.625
2024-03-05,15.675000190734863
2024-03-06,15.0
2024-03-07,14.475000381469727
2024-03-08,13.350000381469727
2024-03-11,11.699999809265137
2024-03-12,10.125
2024-03-13,10.050000190734863
2024-03-14,9.675000190734863
2024-03-15,12.0
2024-03-18,10.425000190734863
2024-03-19,10.800000190734863
2024-03-20,13.574999809265137
2024-03-21,11.625
2024-03-22,10.649999618530273
2024-03-25,10.574999809265137
2024-03-26,10.350000381469727
2024-03-27,9.899999618530273
2024-03-28,9.675000190734863
2024-04-01,9.975000381469727
2024-04-02,11.175000190734863
2024-04-03,11.25
2024-04-04,11.175000190734863
2024-04-05,12.0
2024-04-08,11.024999618530273
2024-04-09,11.024999618530273
2024-04-10,10.725000381469727
2024-04-11,10.800000190734863
2024-04-12,10.649999618530273
2024-04-15,11.925000190734863
2024-04-16,11.699999809265137
2024-04-17,12.975000381469727
2024-04-18,12.375
2024-04-19,12.675000190734863
2024-04-22,11.850000381469727
2024-04-23,13.350000381469727
2024-04-24,12.149999618530273
2024-04-25,11.550000190734863
2024-04-26,11.550000190734863
2024-04-29,11.625
2024-04-30,11.100000381469727
2024-05-01,11.324999809265137
2024-05-02,11.024999618530273
2024-05-03,10.800000190734863
2024-05-06,10.5
2024-05-07,9.899999618530273
2024-05-08,10.274999618530273
2024-05-09,11.324999809265137
2024-05-10,10.274999618530273
2024-05-13,9.975000381469727
2024-05-14,9.149999618530273
2024-05-15,9.300000190734863
2024-05-16,11.399999618530273
2024-05-17,11.324999809265137
2024-05-20,11.925000190734863
2024-05-21,11.175000190734863
2024-05-22,11.475000381469727
2024-05-23,11.324999809265137
2024-05-24,14.925000190734863
2024-05-28,12.149999618530273
2024-05-29,12.675000190734863
2024-05-30,12.300000190734863
2024-05-31,12.899999618530273
2024-06-03,11.925000190734863
2024-06-04,12.149999618530273
2024-06-05,12.0
2024-06-06,10.800000190734863
2024-06-07,11.625
2024-06-10,10.875
2024-06-11,10.875
2024-06-12,10.125
2024-06-13,9.0
2024-06-14,7.724999904632568
2024-06-17,7.5
2024-06-18,8.925000190734863
2024-06-20,12.074999809265137
2024-06-21,10.050000190734863
2024-06-24,10.125
2024-06-25,10.574999809265137
2024-06-26,10.425000190734863
2024-06-27,10.125
2024-06-28,9.449999809265137
2024-07-01,9.225000381469727
2024-07-02,8.774999618530273
2024-07-03,9.149999618530273
2024-07-05,10.125
2024-07-08,9.600000381469727
2024-07-09,9.600000381469727
2024-07-10,8.925000190734863
2024-07-11,7.875
2024-07-12,6.75
2024-07-15,5.949999809265137
2024-07-16,6.551000118255615
2024-07-17,7.079999923706055
2024-07-18,6.369999885559082
2024-07-19,6.230000019073486
2024-07-22,5.75
2024-07-23,5.039999961853027
2024-07-24,4.639999866485596
2024-07-25,4.369999885559082
2024-07-26,4.789999961853027
2024-07-29,5.0
2024-07-30,4.610000133514404
2024-07-31,4.590000152587891
2024-08-01,4.690000057220459
2024-08-02,4.053999900817871
2024-08-05,3.25
2024-08-06,3.5799999237060547
2024-08-07,4.090000152587891
2024-08-08,3.6600000858306885
2024-08-09,3.8299999237060547
2024-08-12,3.430000066757202
2024-08-13,3.009999990463257
2024-08-14,3.0
2024-08-15,3.124000072479248
2024-08-16,3.25
2024-08-19,3.640000104904175
2024-08-20,3.5799999237060547
2024-08-21,3.7200000286102295
2024-08-22,3.859999895095825
2024-08-23,3.5999999046325684
2024-08-26,3.4200000762939453
2024-08-27,3.2100000381469727
2024-08-28,2.930000066757202
2024-08-29,2.859999895095825
2024-08-30,2.809999942779541
2024-09-03,2.700000047683716
2024-09-04,2.380000114440918
2024-09-05,2.190000057220459
2024-09-06,2.119999885559082
2024-09-09,2.2149999141693115
2024-09-10,3.2899999618530273
2024-09-11,3.1500000953674316
2024-09-12,2.450000047683716
2024-09-13,5.949999809265137
2024-09-16,5.099999904632568
2024-09-17,3.759999990463257
2024-09-18,3.450000047683716
2024-09-19,3.319999933242798
2024-09-20,3.5
2024-09-23,3.369999885559082
2024-09-24,3.369999885559082
2024-09-25,3.4000000953674316
2024-09-26,2.8299999237060547
2024-09-27,2.7799999713897705
2024-09-30,2.9000000953674316
2024-10-01,2.799999952316284
2024-10-02,2.859999895095825
2024-10-03,2.9000000953674316
2024-10-04,2.869999885559082
2024-10-07,2.490000009536743
2024-10-08,2.369999885559082
2024-10-09,2.450000047683716
2024-10-10,2.4600000381469727
2024-10-11,2.4200000762939453
2024-10-14,2.4800000190734863
2024-10-15,2.6700000762939453
2024-10-16,2.7799999713897705
2024-10-17,2.5199999809265137
2024-10-18,2.680000066757202
2024-10-21,2.5
2024-10-22,2.369999885559082
2024-10-23,2.2100000381469727
2024-10-24,2.0899999141693115
2024-10-25,1.3899999856948853
2024-10-28,0.47999998927116394
2024-10-29,0.3790000081062317
2024-10-30,0.38499999046325684
2024-10-31,0.37700000405311584
2024-11-01,0.34700000286102295
2024-11-04,0.335999995470047
2024-11-05,0.3009999990463257
2024-11-06,0.29100000858306885
2024-11-07,0.3100000023841858
2024-11-08,0.29499998688697815
2024-11-11,0.2840000092983246
2024-11-12,0.28299999237060547
2024-11-13,0.2800000011920929
2024-11-14,0.26600000262260437
2024-11-15,0.2549999952316284
2024-11-18,0.21199999749660492
2024-11-19,0.24300000071525574
2024-11-20,0.25699999928474426
2024-11-21,0.25600001215934753
