Date,GSM
2022-11-23,4.71999979019165
2022-11-25,4.619999885559082
2022-11-28,4.309999942779541
2022-11-29,4.489999771118164
2022-11-30,4.630000114440918
2022-12-01,4.599999904632568
2022-12-02,4.360000133514404
2022-12-05,4.150000095367432
2022-12-06,4.199999809265137
2022-12-07,4.059999942779541
2022-12-08,4.03000020980835
2022-12-09,3.940000057220459
2022-12-12,3.8499999046325684
2022-12-13,3.9100000858306885
2022-12-14,3.9100000858306885
2022-12-15,3.759999990463257
2022-12-16,3.75
2022-12-19,3.859999895095825
2022-12-20,3.9700000286102295
2022-12-21,4.0
2022-12-22,3.9000000953674316
2022-12-23,3.9000000953674316
2022-12-27,3.8399999141693115
2022-12-28,3.690000057220459
2022-12-29,3.799999952316284
2022-12-30,3.8499999046325684
