Date,AILE
2022-11-25,9.949999809265137
2022-11-28,9.954999923706055
2022-11-29,9.960000038146973
2022-11-30,9.960000038146973
2022-12-01,9.960000038146973
2022-12-02,9.970000267028809
2022-12-05,9.970000267028809
2022-12-06,9.970000267028809
2022-12-07,9.989999771118164
2022-12-08,9.970000267028809
2022-12-09,9.970000267028809
2022-12-12,9.970000267028809
2022-12-13,9.970000267028809
2022-12-14,9.970000267028809
2022-12-15,9.979999542236328
2022-12-16,9.979999542236328
2022-12-19,9.979999542236328
2022-12-20,9.979999542236328
2022-12-21,9.970999717712402
2022-12-22,9.979999542236328
2022-12-23,9.979999542236328
2022-12-27,10.020000457763672
2022-12-28,10.029999732971191
2022-12-29,10.029999732971191
2022-12-30,10.03499984741211
2023-01-03,10.039999961853027
