Date,GOVX
2022-12-05,12.0600004196167
2022-12-06,11.175000190734863
2022-12-07,11.324999809265137
2022-12-08,11.100000381469727
2022-12-09,10.649999618530273
2022-12-12,9.975000381469727
2022-12-13,8.9399995803833
2022-12-14,8.699999809265137
2022-12-15,8.279999732971191
2022-12-16,8.475000381469727
2022-12-19,8.625
2022-12-20,8.640000343322754
2022-12-21,8.850000381469727
2022-12-22,8.475000381469727
2022-12-23,8.505000114440918
2022-12-27,8.279999732971191
2022-12-28,8.550000190734863
2022-12-29,9.225000381469727
2022-12-30,9.449999809265137
2023-01-03,9.420000076293945
2023-01-04,9.75
2023-01-05,9.569999694824219
2023-01-06,9.569999694824219
2023-01-09,10.5
2023-01-10,10.335000038146973
2023-01-11,11.475000381469727
2023-01-12,11.279999732971191
