Date,SVRA
2022-11-11,1.1699999570846558
2022-11-14,1.190000057220459
2022-11-15,1.309999942779541
2022-11-16,1.3200000524520874
2022-11-17,1.309999942779541
2022-11-18,1.3700000047683716
2022-11-21,1.4299999475479126
2022-11-22,1.4199999570846558
2022-11-23,1.4500000476837158
2022-11-25,1.440000057220459
2022-11-28,1.440000057220459
2022-11-29,1.6399999856948853
2022-11-30,1.5800000429153442
2022-12-01,1.559999942779541
2022-12-02,1.6200000047683716
2022-12-05,1.6399999856948853
2022-12-06,1.6299999952316284
2022-12-07,1.600000023841858
2022-12-08,1.6100000143051147
2022-12-09,1.5800000429153442
2022-12-12,1.6100000143051147
2022-12-13,1.5099999904632568
2022-12-14,1.5
2022-12-15,1.5800000429153442
2022-12-16,1.5199999809265137
2022-12-19,1.4700000286102295
