Date,GNS
2023-01-27,39.5
2023-01-30,49.099998474121094
2023-01-31,54.70000076293945
2023-02-01,53.0
2023-02-02,70.9000015258789
2023-02-03,67.5999984741211
2023-02-06,70.5
2023-02-07,62.400001525878906
2023-02-08,62.599998474121094
2023-02-09,56.0
2023-02-10,62.79999923706055
2023-02-13,63.5
2023-02-14,61.29999923706055
2023-02-15,64.5
2023-02-16,63.79999923706055
2023-02-17,58.5
2023-02-21,52.900001525878906
2023-02-22,52.599998474121094
2023-02-23,50.29999923706055
2023-02-24,44.5
2023-02-27,39.400001525878906
2023-02-28,35.70000076293945
2023-03-01,24.299999237060547
2023-03-02,22.799999237060547
2023-03-03,36.29999923706055
2023-03-06,38.0
2023-03-07,38.79999923706055
2023-03-08,39.0
2023-03-09,36.599998474121094
