Date,ADCT
2022-11-25,3.5899999141693115
2022-11-28,3.4000000953674316
2022-11-29,3.380000114440918
2022-11-30,3.6600000858306885
2022-12-01,3.4800000190734863
2022-12-02,3.619999885559082
2022-12-05,3.509999990463257
2022-12-06,3.4100000858306885
2022-12-07,2.869999885559082
2022-12-08,3.069999933242798
2022-12-09,3.0999999046325684
2022-12-12,3.0999999046325684
2022-12-13,3.2100000381469727
2022-12-14,3.4800000190734863
2022-12-15,3.319999933242798
2022-12-16,3.25
2022-12-19,3.0399999618530273
2022-12-20,3.180000066757202
2022-12-21,3.0399999618530273
2022-12-22,3.0799999237060547
2022-12-23,3.5199999809265137
2022-12-27,3.319999933242798
2022-12-28,3.5999999046325684
2022-12-29,3.7899999618530273
2022-12-30,3.8399999141693115
