Date,FULC
2022-11-28,6.710000038146973
2022-11-29,6.550000190734863
2022-11-30,6.849999904632568
2022-12-01,6.699999809265137
2022-12-02,6.75
2022-12-05,6.559999942779541
2022-12-06,6.25
2022-12-07,6.139999866485596
2022-12-08,6.139999866485596
2022-12-09,5.449999809265137
2022-12-12,5.860000133514404
2022-12-13,5.849999904632568
2022-12-14,5.440000057220459
2022-12-15,5.480000019073486
2022-12-16,5.349999904632568
2022-12-19,6.039999961853027
2022-12-20,6.409999847412109
2022-12-21,6.28000020980835
2022-12-22,6.239999771118164
2022-12-23,6.25
2022-12-27,6.039999961853027
2022-12-28,6.610000133514404
2022-12-29,7.239999771118164
2022-12-30,7.28000020980835
2023-01-03,7.900000095367432
2023-01-04,8.279999732971191
2023-01-05,9.140000343322754
