Date,INVZ
2022-11-21,5.010000228881836
2022-11-22,5.230000019073486
2022-11-23,5.300000190734863
2022-11-25,5.440000057220459
2022-11-28,5.179999828338623
2022-11-29,5.110000133514404
2022-11-30,5.369999885559082
2022-12-01,5.510000228881836
2022-12-02,5.46999979019165
2022-12-05,5.420000076293945
2022-12-06,5.099999904632568
2022-12-07,4.929999828338623
2022-12-08,4.809999942779541
2022-12-09,4.710000038146973
2022-12-12,4.789999961853027
2022-12-13,4.730000019073486
2022-12-14,4.610000133514404
2022-12-15,4.409999847412109
2022-12-16,4.340000152587891
2022-12-19,4.079999923706055
2022-12-20,3.930000066757202
2022-12-21,3.9000000953674316
2022-12-22,3.8299999237060547
2022-12-23,3.7200000286102295
2022-12-27,3.549999952316284
2022-12-28,3.5799999237060547
