Date,CHRS
2022-11-23,6.550000190734863
2022-11-25,6.579999923706055
2022-11-28,6.440000057220459
2022-11-29,6.579999923706055
2022-11-30,6.860000133514404
2022-12-01,6.690000057220459
2022-12-02,6.929999828338623
2022-12-05,6.739999771118164
2022-12-06,6.800000190734863
2022-12-07,6.639999866485596
2022-12-08,6.829999923706055
2022-12-09,6.929999828338623
2022-12-12,7.409999847412109
2022-12-13,7.340000152587891
2022-12-14,7.510000228881836
2022-12-15,7.349999904632568
2022-12-16,7.309999942779541
2022-12-19,7.019999980926514
2022-12-20,7.099999904632568
2022-12-21,7.230000019073486
2022-12-22,7.409999847412109
2022-12-23,6.449999809265137
2022-12-27,5.690000057220459
2022-12-28,6.21999979019165
2022-12-29,7.28000020980835
2022-12-30,7.920000076293945
2023-01-03,8.510000228881836
