Date,ACET
2022-11-28,16.700000762939453
2022-11-29,17.770000457763672
2022-11-30,18.18000030517578
2022-12-01,18.579999923706055
2022-12-02,19.260000228881836
2022-12-05,20.190000534057617
2022-12-06,19.65999984741211
2022-12-07,19.6299991607666
2022-12-08,19.8799991607666
2022-12-09,17.270000457763672
2022-12-12,10.425000190734863
2022-12-13,10.789999961853027
2022-12-14,10.640000343322754
2022-12-15,9.949999809265137
2022-12-16,9.399999618530273
2022-12-19,8.380000114440918
2022-12-20,8.3100004196167
2022-12-21,8.050000190734863
2022-12-22,8.050000190734863
2022-12-23,7.929999828338623
2022-12-27,7.71999979019165
2022-12-28,8.100000381469727
2022-12-29,8.550000190734863
2022-12-30,8.9399995803833
2023-01-03,8.569999694824219
2023-01-04,8.5
2023-01-05,8.220000267028809
