Date,ACRS
2022-11-29,15.789999961853027
2022-11-30,15.220000267028809
2022-12-01,15.859999656677246
2022-12-02,16.639999389648438
2022-12-05,15.649999618530273
2022-12-06,15.920000076293945
2022-12-07,15.180000305175781
2022-12-08,15.510000228881836
2022-12-09,15.15999984741211
2022-12-12,15.59000015258789
2022-12-13,15.9399995803833
2022-12-14,16.170000076293945
2022-12-15,15.649999618530273
2022-12-16,15.59000015258789
2022-12-19,14.600000381469727
2022-12-20,15.039999961853027
2022-12-21,15.0
2022-12-22,15.289999961853027
2022-12-23,15.079999923706055
2022-12-27,15.029999732971191
2022-12-28,15.489999771118164
2022-12-29,16.1299991607666
2022-12-30,15.75
2023-01-03,15.069999694824219
2023-01-04,14.970000267028809
2023-01-05,15.229999542236328
2023-01-06,16.549999237060547
