Date,SGMO
2022-11-23,3.549999952316284
2022-11-25,3.559999942779541
2022-11-28,3.4700000286102295
2022-11-29,3.5399999618530273
2022-11-30,3.6600000858306885
2022-12-01,3.559999942779541
2022-12-02,3.6500000953674316
2022-12-05,3.5399999618530273
2022-12-06,3.430000066757202
2022-12-07,3.4100000858306885
2022-12-08,3.490000009536743
2022-12-09,3.450000047683716
2022-12-12,3.509999990463257
2022-12-13,3.5
2022-12-14,3.450000047683716
2022-12-15,3.299999952316284
2022-12-16,3.440000057220459
2022-12-19,3.0899999141693115
2022-12-20,3.0999999046325684
2022-12-21,3.1600000858306885
2022-12-22,3.140000104904175
2022-12-23,2.9700000286102295
2022-12-27,2.7699999809265137
2022-12-28,2.7799999713897705
2022-12-29,3.0999999046325684
2022-12-30,3.140000104904175
2023-01-03,3.140000104904175
