Date,VERO
2022-12-01,3.6449999809265137
2022-12-02,4.005000114440918
2022-12-05,4.184999942779541
2022-12-06,4.349999904632568
2022-12-07,3.9749999046325684
2022-12-08,4.650000095367432
2022-12-09,4.289999961853027
2022-12-12,4.650000095367432
2022-12-13,4.650000095367432
2022-12-14,4.454999923706055
2022-12-15,4.199999809265137
2022-12-16,4.349999904632568
2022-12-19,4.304999828338623
2022-12-20,3.7799999713897705
2022-12-21,4.46999979019165
2022-12-22,4.199999809265137
2022-12-23,4.5
2022-12-27,4.275000095367432
2022-12-28,4.650000095367432
2022-12-29,4.784999847412109
2022-12-30,4.800000190734863
2023-01-03,4.5
2023-01-04,4.724999904632568
2023-01-05,4.5
2023-01-06,4.650000095367432
2023-01-09,4.650000095367432
2023-01-10,4.724999904632568
