Date,EVO
2022-11-25,8.880000114440918
2022-11-28,8.680000305175781
2022-11-29,8.399999618530273
2022-11-30,8.739999771118164
2022-12-01,9.1899995803833
2022-12-02,9.140000343322754
2022-12-05,8.760000228881836
2022-12-06,8.319999694824219
2022-12-07,8.3100004196167
2022-12-08,8.380000114440918
2022-12-09,8.420000076293945
2022-12-12,8.5
2022-12-13,8.489999771118164
2022-12-14,8.449999809265137
2022-12-15,8.0600004196167
2022-12-16,8.109999656677246
2022-12-19,8.15999984741211
2022-12-20,8.130000114440918
2022-12-21,8.130000114440918
2022-12-22,8.039999961853027
2022-12-23,8.0600004196167
2022-12-27,7.880000114440918
2022-12-28,7.800000190734863
2022-12-29,8.329999923706055
2022-12-30,8.09000015258789
2023-01-03,8.149999618530273
2023-01-04,8.149999618530273
