Date,SLI
2022-11-23,4.21999979019165
2022-11-25,4.190000057220459
2022-11-28,4.010000228881836
2022-11-29,3.9600000381469727
2022-11-30,4.400000095367432
2022-12-01,4.170000076293945
2022-12-02,4.150000095367432
2022-12-05,3.869999885559082
2022-12-06,3.880000114440918
2022-12-07,3.9000000953674316
2022-12-08,3.880000114440918
2022-12-09,3.5899999141693115
2022-12-12,3.759999990463257
2022-12-13,3.7200000286102295
2022-12-14,3.5999999046325684
2022-12-15,3.5899999141693115
2022-12-16,3.490000009536743
2022-12-19,3.2699999809265137
2022-12-20,3.25
2022-12-21,3.319999933242798
2022-12-22,3.309999942779541
2022-12-23,3.319999933242798
2022-12-27,3.190000057220459
2022-12-28,3.0199999809265137
2022-12-29,2.9800000190734863
2022-12-30,2.950000047683716
