Date,APVO
2022-11-23,130.67999267578125
2022-11-25,128.0399932861328
2022-11-28,127.16000366210938
2022-11-29,135.52000427246094
2022-11-30,137.27999877929688
2022-12-01,135.9600067138672
2022-12-02,136.39999389648438
2022-12-05,138.60000610351562
2022-12-06,143.0
2022-12-07,146.52000427246094
2022-12-08,153.1199951171875
2022-12-09,152.81199645996094
2022-12-12,172.0399932861328
2022-12-13,125.4000015258789
2022-12-14,110.87999725341797
2022-12-15,99.0
2022-12-16,95.04000091552734
2022-12-19,88.0
2022-12-20,91.5199966430664
2022-12-21,91.5199966430664
2022-12-22,92.4000015258789
2022-12-23,91.08000183105469
2022-12-27,89.76000213623047
2022-12-28,92.4000015258789
2022-12-29,100.76000213623047
2022-12-30,102.08000183105469
2023-01-03,100.76000213623047
2023-01-04,102.95999908447266
