Date,FATE
2022-11-25,19.829999923706055
2022-11-28,19.260000228881836
2022-11-29,19.84000015258789
2022-11-30,20.81999969482422
2022-12-01,20.34000015258789
2022-12-02,20.90999984741211
2022-12-05,20.399999618530273
2022-12-06,19.139999389648438
2022-12-07,19.100000381469727
2022-12-08,19.1200008392334
2022-12-09,18.899999618530273
2022-12-12,16.200000762939453
2022-12-13,16.3700008392334
2022-12-14,15.369999885559082
2022-12-15,14.210000038146973
2022-12-16,13.079999923706055
2022-12-19,12.75
2022-12-20,12.630000114440918
2022-12-21,12.25
2022-12-22,11.65999984741211
2022-12-23,11.010000228881836
2022-12-27,10.199999809265137
2022-12-28,9.859999656677246
2022-12-29,10.0
2022-12-30,10.09000015258789
2023-01-03,10.170000076293945
2023-01-04,11.119999885559082
2023-01-05,11.0
