Date,DBGI
2023-09-28,8.460000038146973
2023-09-29,8.430000305175781
2023-10-02,8.25
2023-10-03,8.130000114440918
2023-10-04,8.149999618530273
2023-10-05,8.020000457763672
2023-10-06,8.029999732971191
2023-10-09,7.650000095367432
2023-10-10,7.550000190734863
2023-10-11,6.900000095367432
2023-10-12,6.199999809265137
2023-10-13,6.0
2023-10-16,5.5
2023-10-17,5.809999942779541
2023-10-18,5.369999885559082
2023-10-19,5.25
2023-10-20,4.820000171661377
2023-10-23,4.861000061035156
2023-10-24,4.730000019073486
2023-10-25,4.550000190734863
2023-10-26,4.199999809265137
2023-10-27,3.869999885559082
2023-10-30,3.9100000858306885
2023-10-31,4.110000133514404
2023-11-01,4.070000171661377
2023-11-02,4.5
2023-11-03,4.340000152587891
2023-11-06,4.28000020980835
2023-11-07,4.0
2023-11-08,3.9200000762939453
2023-11-09,3.890000104904175
2023-11-10,3.8399999141693115
2023-11-13,4.0
2023-11-14,3.9679999351501465
2023-11-15,3.6500000953674316
2023-11-16,3.5899999141693115
2023-11-17,3.6600000858306885
2023-11-20,3.440000057220459
2023-11-21,3.5199999809265137
2023-11-22,3.259999990463257
2023-11-24,3.3399999141693115
2023-11-27,3.489000082015991
2023-11-28,3.3239998817443848
2023-11-29,3.134999990463257
2023-11-30,3.2300000190734863
2023-12-01,3.5399999618530273
2023-12-04,3.930000066757202
2023-12-05,3.8399999141693115
2023-12-06,4.190000057220459
2023-12-07,4.559999942779541
2023-12-08,4.453000068664551
2023-12-11,4.619999885559082
2023-12-12,5.119999885559082
2023-12-13,4.829999923706055
2023-12-14,4.449999809265137
2023-12-15,4.099999904632568
2023-12-18,4.010000228881836
2023-12-19,3.759999990463257
2023-12-20,3.740000009536743
2023-12-21,3.4600000381469727
2023-12-22,3.25
2023-12-26,3.1600000858306885
2023-12-27,3.1600000858306885
2023-12-28,3.240000009536743
2023-12-29,3.2699999809265137
2024-01-02,3.190000057220459
2024-01-03,2.809999942779541
2024-01-04,2.640000104904175
2024-01-05,2.700000047683716
2024-01-08,2.700000047683716
2024-01-09,2.8299999237060547
2024-01-10,2.990000009536743
2024-01-11,2.8299999237060547
2024-01-12,2.7899999618530273
2024-01-16,2.5799999237060547
2024-01-17,2.559999942779541
2024-01-18,2.390000104904175
2024-01-19,2.369999885559082
2024-01-22,2.569999933242798
2024-01-23,2.6500000953674316
2024-01-24,2.4609999656677246
2024-01-25,2.5299999713897705
2024-01-26,2.4700000286102295
2024-01-29,2.4000000953674316
2024-01-30,2.509999990463257
2024-01-31,2.3499999046325684
2024-02-01,2.4600000381469727
2024-02-02,2.4200000762939453
2024-02-05,2.509999990463257
2024-02-06,2.609999895095825
2024-02-07,2.75
2024-02-08,2.700000047683716
2024-02-09,2.690000057220459
2024-02-12,2.865000009536743
2024-02-13,6.849999904632568
2024-02-14,5.070000171661377
2024-02-15,4.760000228881836
2024-02-16,5.210000038146973
2024-02-20,5.002999782562256
2024-02-21,4.980000019073486
2024-02-22,4.96999979019165
2024-02-23,4.769999980926514
2024-02-26,4.650000095367432
2024-02-27,4.309999942779541
2024-02-28,4.21999979019165
2024-02-29,4.039999961853027
2024-03-01,4.050000190734863
2024-03-04,4.079999923706055
2024-03-05,3.7200000286102295
2024-03-06,3.759999990463257
2024-03-07,3.630000114440918
2024-03-08,3.4700000286102295
2024-03-11,3.4000000953674316
2024-03-12,3.369999885559082
2024-03-13,3.3499999046325684
2024-03-14,3.25
2024-03-15,3.200000047683716
2024-03-18,3.559999942779541
2024-03-19,3.549999952316284
2024-03-20,3.5999999046325684
2024-03-21,3.5799999237060547
2024-03-22,3.5299999713897705
2024-03-25,3.4800000190734863
2024-03-26,3.5899999141693115
2024-03-27,3.8399999141693115
2024-03-28,4.159999847412109
2024-04-01,4.059999942779541
2024-04-02,3.890000104904175
2024-04-03,4.03000020980835
2024-04-04,4.110000133514404
2024-04-05,4.269999980926514
2024-04-08,4.800000190734863
2024-04-09,4.53000020980835
2024-04-10,4.239999771118164
2024-04-11,3.9000000953674316
2024-04-12,4.210000038146973
2024-04-15,4.0
2024-04-16,3.2799999713897705
2024-04-17,2.869999885559082
2024-04-18,2.9600000381469727
2024-04-19,2.7249999046325684
